SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,7551 Southamptonshire Way,New Kent,VA,23124,362000,2,2.0,Lifestyle at Four Seasons,1332,8232,2022,7,272,240,Active,,,https://www.redfin.com/VA/New-Kent/7551-Southamptonshire-Way-23124/home/179879910,CVRMLS,2403271,N,Y,37.5118023,-77.0753112
MLS Listing,,Single Family Residential,8301 Bradbury Rd,Henrico,VA,23231,349500,4,2.0,,1920,,1950,18,182,,Active,,,https://www.redfin.com/VA/Henrico/8301-Bradbury-Rd-23231/home/59697065,CVRMLS,2402608,N,Y,37.4364973,-77.2764189
MLS Listing,,Single Family Residential,1430 Ascot Hill Ter,Midlothian,VA,23112,975000,6,4.5,Hallsley,3677,15089,2019,19,265,120,Active,,,https://www.redfin.com/VA/Midlothian/1430-Ascot-Hill-Ter-23112/home/146018574,CVRMLS,2401727,N,Y,37.4793857,-77.7212747
MLS Listing,,Single Family Residential,8713 Glen Royal Dr,Chesterfield,VA,23832,615000,4,3.0,Harpers Mill,2884,15015,2019,20,213,67,Active,,,https://www.redfin.com/VA/Chesterfield/8713-Glen-Royal-Dr-23832/home/144490180,CVRMLS,2402216,N,Y,37.3776514,-77.7120983
MLS Listing,,Single Family Residential,1808 Woodbine Rd,Richmond,VA,23225,384950,3,1.5,Westover Hills,1501,9313,1937,1,256,,Active,,,https://www.redfin.com/VA/Richmond/1808-Woodbine-Rd-23225/home/55432202,CVRMLS,2404052,N,Y,37.5236773,-77.4811092
MLS Listing,,Single Family Residential,6048 Rivermere Ln,Glen Allen,VA,23059,684000,4,3.0,ALL OTHERS AREA 150,3144,9583,2022,1,218,87,Active,February-25-2024 01:00 PM,February-25-2024 03:00 PM,https://www.redfin.com/VA/Glen-Allen/6048-Rivermere-Ln-23059/home/175020983,REINMLS,10520624,N,Y,37.684063,-77.4685614
MLS Listing,,Single Family Residential,1728 Windingridge Dr,Henrico,VA,23238,600000,4,3.5,GAYTON FOREST,3157,,1979,1,190,10,Active,,,https://www.redfin.com/VA/Henrico/1728-Windingridge-Dr-23238/home/59650381,BRIGHT MLS,VAHN2000442,N,Y,37.6107427,-77.6052575
MLS Listing,,Single Family Residential,307 Eastman Rd,North Chesterfield,VA,23236,365000,4,3.5,Hylton Park,2193,13852,1983,1,166,,Active,,,https://www.redfin.com/VA/North-Chesterfield/307-Eastman-Rd-23236/home/59524073,CVRMLS,2404036,N,Y,37.4956765,-77.5906305
MLS Listing,,Single Family Residential,8813 Glen Royal Dr,Chesterfield,VA,23832,640000,5,3.5,Harpers Mill,2926,13987,2020,1,219,67,Active,,,https://www.redfin.com/VA/Chesterfield/8813-Glen-Royal-Dr-23832/home/144490162,CVRMLS,2404033,N,Y,37.3765825,-77.7120983
MLS Listing,,Single Family Residential,1763 Oakland St,Petersburg,VA,23805,153500,4,2.0,Walnut Hill Addition,1700,13068,1947,1,90,,Active,,,https://www.redfin.com/VA/Petersburg/1763-Oakland-St-23805/home/52378878,CVRMLS,2404016,N,Y,37.2074201,-77.3859809
MLS Listing,,Single Family Residential,9612 Bright Hope Rd,Chesterfield,VA,23838,295000,3,2.5,Oakton,1824,30187,1980,1,162,,Active,,,https://www.redfin.com/VA/Chesterfield/9612-Bright-Hope-Rd-23838/home/59533183,CVRMLS,2402799,N,Y,37.3702854,-77.5608
MLS Listing,,Single Family Residential,5900 Irish Yard Ct,Charles City,VA,23140,299900,3,2.0,,1200,61419,2007,1,250,,Active,,,https://www.redfin.com/VA/Providence-Forge/5900-Irish-Yard-Ct-23140/home/123661101,CVRMLS,2402272,N,Y,37.4077259,-77.0691506
MLS Listing,,Single Family Residential,13248 Barwick Ln,Richmond,VA,23238,1297000,5,5.5,Rivergate,5782,98445,1999,1,224,343,Active,,,https://www.redfin.com/VA/Richmond/13248-Barwick-Ln-23238/home/167744988,CVRMLS,2403677,N,Y,37.5948164,-77.6412851
MLS Listing,,Single Family Residential,7731 Sedge Dr,New Kent,VA,23124,610000,4,3.5,The Arbors At New Kent Winery,3305,12196,2018,1,185,122,Active,,,https://www.redfin.com/VA/New-Kent/7731-Sedge-Dr-23124/home/162466258,CVRMLS,2402934,N,Y,37.5122045,-77.0835622
MLS Listing,,Single Family Residential,139 Fox Run Frst,Beaverdam,VA,23015,370000,3,2.5,FOX RUN FOREST,1584,78321,2021,1,234,,Active,,,https://www.redfin.com/VA/Beaverdam/139-Fox-Run-Forest-Ln-23015/home/162581822,BRIGHT MLS,VALA2005096,N,Y,37.976026,-77.715175
MLS Listing,,Single Family Residential,1313 N 31st St,Richmond,VA,23223,199000,3,2.5,,1624,3942,1900,1,123,,Active,,,https://www.redfin.com/VA/Richmond/1313-N-31st-St-23223/home/55411270,CVRMLS,2404017,N,Y,37.5372485,-77.4045027
MLS Listing,,Single Family Residential,2301 Golden Rd,Richmond,VA,23230,269000,3,1.0,Dickensdale,1016,9983,1954,1,265,,Active,,,https://www.redfin.com/VA/Richmond/2301-Golden-Rd-23230/home/59660821,CVRMLS,2403511,N,Y,37.5995888,-77.5079926
MLS Listing,,Single Family Residential,15319 Millwright Rd,Chesterfield,VA,23832,779999,4,4.5,Harpers Mill,4381,13503,2023,1,178,67,Active,February-19-2024 12:00 PM,February-19-2024 03:00 PM,https://www.redfin.com/VA/Chesterfield/15319-Scranton-Dr-23832/home/185373326,CVRMLS,2403997,N,Y,37.374168,-77.6984588
MLS Listing,,Single Family Residential,223 Witten St,Petersburg,VA,23803,110000,2,1.0,,900,1620,1948,1,122,,Active,,,https://www.redfin.com/VA/Petersburg/223-Witten-St-23803/home/52374353,CVRMLS,2403833,N,Y,37.2373925,-77.3992888
MLS Listing,,Single Family Residential,5502 Dillwyn Rd,Richmond,VA,23226,875000,4,3.5,Glen Burnie,2848,,1939,1,307,,Active,,,https://www.redfin.com/VA/Richmond/5502-Dillwyn-Rd-23226/home/55449707,CVRMLS,2402754,N,Y,37.5764881,-77.511487
MLS Listing,,Single Family Residential,6501 Old Zion Hill Rd,North Chesterfield,VA,23224,285000,3,2.0,AMPTHILL GARDENS,1200,11112,1979,1,238,,Pre On-Market,,,https://www.redfin.com/VA/North-Chesterfield/6501-Old-Zion-Hill-Rd-23234/home/59549633,BRIGHT MLS,VACF2000654,N,Y,37.4270974,-77.502258
MLS Listing,,Single Family Residential,10 S Mulberry St,Richmond,VA,23220,525000,3,1.5,,1694,2056,1911,1,310,,Active,,,https://www.redfin.com/VA/Richmond/10-S-Mulberry-St-23220/home/55443130,CVRMLS,2403472,N,Y,37.55173,-77.4750824
MLS Listing,,Single Family Residential,1841 Mount Olive Rd,Beaverdam,VA,23015,314900,3,2.0,OLDBRIDGE HILLS,1836,221720,1998,1,172,,Pre On-Market,March-3-2024 01:00 PM,March-3-2024 03:00 PM,https://www.redfin.com/VA/Beaverdam/1841-Mount-Olive-Rd-23015/home/22885699,BRIGHT MLS,VASP2022988,N,Y,38.0100503,-77.6735775
MLS Listing,,Single Family Residential,4901 Jacobs Glenn Dr,Chesterfield,VA,23236,399950,3,2.5,Jacobs Glenn,1800,33323,2024,1,222,,Active,,,https://www.redfin.com/VA/Richmond/4901-Jacobs-Glenn-Dr-23236/home/59535832,CVRMLS,2403977,N,Y,37.435778,-77.554883
MLS Listing,,Single Family Residential,18362 Congressional Cir,Ruther Glen,VA,22546,429999,4,3.5,PENDLETON,2792,8120,2009,1,154,66,Active,February-25-2024 11:00 AM,February-25-2024 03:00 PM,https://www.redfin.com/VA/Ruther-Glen/18362-Congressional-Cir-22546/home/22649619,BRIGHT MLS,VACV2005392,N,Y,38.0097796,-77.5184306
MLS Listing,,Single Family Residential,5702 Edgelawn St,Richmond,VA,23231,125000,2,1.0,Edgehill Lawn,576,14675,1953,1,217,,Active,,,https://www.redfin.com/VA/Henrico/5702-Edgelawn-St-23231/home/59690247,CVRMLS,2403869,N,Y,37.5072585,-77.3876403
MLS Listing,,Single Family Residential,4507 Park Ave,Richmond,VA,23221,875000,5,4.0,Colonial Place,3092,6534,1938,1,283,,Active,,,https://www.redfin.com/VA/Richmond/4507-Park-Ave-23221/home/55447445,CVRMLS,2401755,N,Y,37.5696804,-77.4950065
MLS Listing,,Single Family Residential,120 Central Pkwy,King William,VA,23009,384950,5,3.0,Central Crossing,2480,10018,2021,2,155,17,Active,,,https://www.redfin.com/VA/Aylett/120-Central-Pkwy-23009/home/180400874,CVRMLS,2403524,N,Y,37.7450721,-77.1385171
MLS Listing,,Single Family Residential,15331 Scranton Dr,Chesterfield,VA,23832,679999,2,2.0,Harpers Mill,3024,12196,2023,2,225,67,Active,February-19-2024 12:00 PM,February-19-2024 03:00 PM,https://www.redfin.com/VA/Chesterfield/15331-Scranton-Dr-23832/home/185373320,CVRMLS,2403996,N,Y,37.3741954,-77.6992143
MLS Listing,,Single Family Residential,304 Cloverfield Ln,Richmond,VA,23223,299950,4,2.0,Tiffany Meadows,1728,9382,1986,2,174,,Active,,,https://www.redfin.com/VA/Richmond/304-Cloverfield-Ln-23223/home/59678647,CVRMLS,2402758,N,Y,37.5581773,-77.3570952
MLS Listing,,Single Family Residential,15407 Millwright Rd,Chesterfield,VA,23832,689999,5,3.0,Harpers Mill,3873,15681,2023,2,178,67,Active,February-19-2024 12:00 PM,February-19-2024 03:00 PM,https://www.redfin.com/VA/Chesterfield/15407-Millwright-Rd-23832/home/185373302,CVRMLS,2403995,N,Y,37.3737885,-77.7012895
MLS Listing,,Single Family Residential,1730 W Washington St,Petersburg,VA,23803,199000,3,2.5,,2480,12000,1948,2,80,,Active,,,https://www.redfin.com/VA/Petersburg/1730-W-Washington-St-23803/home/52376897,CVRMLS,2403981,N,Y,37.219186,-77.4337342
MLS Listing,,Single Family Residential,427 E South Blvd,Petersburg,VA,23805,249000,3,2.0,Pine Gardens,1304,11251,2006,2,191,,Active,,,https://www.redfin.com/VA/Petersburg/427-E-South-Blvd-23805/home/52382381,CVRMLS,2403988,N,Y,37.2068312,-77.3778206
MLS Listing,,Single Family Residential,1502 Centerville Parke Dr,Manakin Sabot,VA,23103,660000,3,3.5,The Parke At Centerville,3113,10890,2009,2,212,198,Active,,,https://www.redfin.com/VA/Manakin-Sabot/1502-Centerville-Parke-Dr-23103/home/167743243,CVRMLS,2402133,N,Y,37.6627375,-77.6806786
MLS Listing,,Single Family Residential,3304 Freeman St,Hopewell,VA,23860,199950,3,1.0,Woodlawn,1164,5401,1927,2,172,,Active,,,https://www.redfin.com/VA/Hopewell/3304-Freeman-St-23860/home/55459451,CVRMLS,2403823,N,Y,37.2750841,-77.3039249
MLS Listing,,Single Family Residential,10341 Brickerton Dr,Mechanicsville,VA,23116,499950,4,2.5,Ash Creek,2737,32757,1997,2,183,67,Active,,,https://www.redfin.com/VA/Mechanicsville/10341-Brickerton-Dr-23116/home/56183186,CVRMLS,2403936,N,Y,37.6908183,-77.4147249
MLS Listing,,Single Family Residential,9604 St Regis Ct,North Chesterfield,VA,23236,589900,5,3.0,Bexley West,3262,15420,1987,2,181,13,Active,,,https://www.redfin.com/VA/North-Chesterfield/9604-St-Regis-Ct-23236/home/59531342,CVRMLS,2403925,N,Y,37.4573723,-77.5687929
MLS Listing,,Single Family Residential,11120 Linderwood Dr,Mechanicsville,VA,23116,330000,3,1.5,Forest Lake Hills,2072,37461,1964,2,159,,Active,,,https://www.redfin.com/VA/Mechanicsville/11120-Linderwood-Dr-23116/home/56184415,CVRMLS,2403961,N,Y,37.7058111,-77.4043671
MLS Listing,,Single Family Residential,2821 Skelton St,Henrico,VA,23223,347500,4,3.0,Aldersgate,1912,9186,1996,2,182,,Active,,,https://www.redfin.com/VA/Richmond/2821-Skelton-St-23223/home/59675113,CVRMLS,2403960,N,Y,37.5766456,-77.3861603
MLS Listing,,Single Family Residential,213 Ampthill Rd,Richmond,VA,23226,3595000,6,7.0,Paxton,7668,106634,1939,2,469,,Active,,,https://www.redfin.com/VA/Richmond/213-Ampthill-Rd-23226/home/55452718,CVRMLS,2402294,N,Y,37.5610397,-77.5176243
MLS Listing,,Single Family Residential,324 Pullbrooke Dr,Chesterfield,VA,23236,369950,4,2.5,Briarcliff Section 5,1800,27921,2010,3,206,,Active,,,https://www.redfin.com/VA/North-Chesterfield/324-Pullbrooke-Dr-23236/home/59482505,CVRMLS,2403959,N,Y,37.4843267,-77.5866349
MLS Listing,,Single Family Residential,3767 Churchwood Pl,Henrico,VA,23233,725000,5,3.5,Church Run,3065,15333,1989,3,237,24,Active,,,https://www.redfin.com/VA/Henrico/3767-Churchwood-Pl-23233/home/59634067,CVRMLS,2403954,N,Y,37.6388242,-77.594335
MLS Listing,,Single Family Residential,3701 Greer Ave,Richmond,VA,23234,294950,3,2.0,Vial Heights,1072,15511,1965,3,275,,Active,,,https://www.redfin.com/VA/Richmond/3701-Greer-Ave-23234/home/55407903,CVRMLS,2403956,N,Y,37.468298,-77.4639181
MLS Listing,,Single Family Residential,14 Weaver Ct,Richmond,VA,23224,249950,3,1.0,Forest Hill Park Annex,1120,9726,1979,3,223,,Active,,,https://www.redfin.com/VA/Richmond/14-Weaver-Ct-23224/home/55432492,CVRMLS,2402323,N,Y,37.5107734,-77.4785549
MLS Listing,,Single Family Residential,18201 Stonewolf Dr,Chesterfield,VA,23120,825000,4,2.5,Magnolia Green,3638,,2023,3,227,102,Active,,,https://www.redfin.com/VA/Moseley/18201-Stonewolf-Dr-23120/home/171993187,CVRMLS,2403943,N,Y,37.409343,-77.750523
MLS Listing,,Single Family Residential,409 E Pilkington St,Richmond,VA,23224,280000,4,2.0,BUTLERS,1372,6009,1995,3,204,,Pre On-Market,,,https://www.redfin.com/VA/Richmond/409-E-Pilkington-St-23224/home/189613506,BRIGHT MLS,VARC2000448,N,Y,37.5122204,-77.4519335
MLS Listing,,Single Family Residential,7505 Northford Mews,Chesterfield,VA,23832,339900,3,2.5,Five Forks Village,1584,12632,1990,3,215,60,Active,,,https://www.redfin.com/VA/Chesterfield/7505-Northford-Mews-23832/home/59543058,CVRMLS,2403944,N,Y,37.428773,-77.5341526
MLS Listing,,Single Family Residential,6440 Commander Rd,Chesterfield,VA,23224,294900,4,2.0,Marlboro,1646,12022,1966,3,179,,Active,,,https://www.redfin.com/VA/North-Chesterfield/6440-Commander-Rd-23224/home/59548331,CVRMLS,2403945,N,Y,37.4694886,-77.5140405
MLS Listing,,Single Family Residential,7124 Village Field Pl,Henrico,VA,23231,459000,5,2.5,Village At Osborne,3291,7553,2006,3,139,58,Active,,,https://www.redfin.com/VA/Henrico/7124-Village-Field-Pl-23231/home/59605009,CVRMLS,2403935,N,Y,37.4701283,-77.3977753
MLS Listing,,Single Family Residential,14418 Eagle Rock Ave,Chester,VA,23831,349900,5,2.5,Mistwood Forest,1872,12153,1988,3,187,,Active,,,https://www.redfin.com/VA/Chester/14418-Eagle-Rock-Ave-23831/home/59578221,CVRMLS,2403818,N,Y,37.3257205,-77.4182221
MLS Listing,,Single Family Residential,512 N 33rd St,Richmond,VA,23223,489950,3,2.0,Chimborazo,2042,3049,1907,3,240,,Active,,,https://www.redfin.com/VA/Richmond/512-N-33rd-St-23223/home/55412019,CVRMLS,2403919,N,Y,37.5294819,-77.4096781
MLS Listing,,Single Family Residential,4569 Bacova Club Ct,Glen Allen,VA,23059,978000,6,5.0,Woodson Hills At Bacova,3885,6969,2024,3,252,208,Active,,,https://www.redfin.com/VA/Glen-Allen/4569-Bacova-Club-Ct-23059/home/188166129,CVRMLS,2403841,N,Y,37.665165,-77.6194686
MLS Listing,,Single Family Residential,402 Rivers Bend Cir,Chester,VA,23836,1400000,6,5.5,Rivers Bend,8087,224377,1999,3,173,,Active,,,https://www.redfin.com/VA/Chester/402-Rivers-Bend-Cir-23836/home/59580961,CVRMLS,2403709,N,Y,37.3549375,-77.3703503
MLS Listing,,Single Family Residential,9770 Honeybee Dr,Mechanicsville,VA,23116,649000,4,3.0,The Villages at Taylor Farm,3000,9278,2021,3,216,65,Active,,,https://www.redfin.com/VA/Mechanicsville/9770-Honeybee-Dr-23116/home/172259517,CVRMLS,2403690,N,Y,37.669887,-77.4165408
MLS Listing,,Single Family Residential,206 Westham Pkwy,Henrico,VA,23229,1499000,4,3.5,Westham,3480,35488,1949,3,431,6,Active,,,https://www.redfin.com/VA/Henrico/206-Westham-Pkwy-23229/home/59671943,CVRMLS,2403880,N,Y,37.5790014,-77.5507242
MLS Listing,,Single Family Residential,8512 Sherbrook Ct,North Chesterfield,VA,23235,575000,5,2.5,Oxford,2643,,1979,3,218,,Active,,,https://www.redfin.com/VA/North-Chesterfield/8512-Sherbrook-Ct-23235/home/59535707,CVRMLS,2403928,N,Y,37.5411114,-77.5547994
MLS Listing,,Single Family Residential,4279 Rockhill Rd,Mechanicsville,VA,23111,674984,4,3.0,,2890,118483,2024,3,234,,Active,,,https://www.redfin.com/VA/Mechanicsville/4279-Rockhill-Rd-23111/home/56206744,CVRMLS,2403854,N,Y,37.58233,-77.250399
MLS Listing,,Single Family Residential,3924 Pinalto Dr,Richmond,VA,23222,300000,4,2.0,Delmont Park,1428,9683,1953,3,210,,Active,,,https://www.redfin.com/VA/Richmond/3924-Pinalto-Dr-23222/home/59669394,CVRMLS,2403047,N,Y,37.5876128,-77.4256086
MLS Listing,,Single Family Residential,4609 Chipoax Ave,Henrico,VA,23231,224990,2,1.0,Gilbert Gardens,846,8624,1948,3,266,,Active,,,https://www.redfin.com/VA/Henrico/4609-Chipoax-Ave-23231/home/59687161,CVRMLS,2400755,N,Y,37.523327,-77.3686683
MLS Listing,,Single Family Residential,1310 Dubois Ave,Richmond,VA,23220,499990,3,2.5,Frederick Douglas Court,1850,4351,2023,3,270,,Active,,,https://www.redfin.com/VA/Richmond/1310-Dubois-Ave-23220/home/187626347,CVRMLS,2403455,N,Y,37.5664624,-77.4520841
MLS Listing,,Single Family Residential,1314 Dubois Ave,Richmond,VA,23220,499990,3,2.5,Frederick Douglas Court,1850,4351,2023,3,270,,Active,,,https://www.redfin.com/VA/Richmond/1314-Dubois-Ave-23220/home/55419928,CVRMLS,2403456,N,Y,37.56658,-77.453004
MLS Listing,,Single Family Residential,15719 Cedarville Dr,Midlothian,VA,23112,799900,4,4.0,Newmarket,3846,,2024,3,208,83,Active,,,https://www.redfin.com/VA/Midlothian/15719-Cedarville-Dr-23112/home/182132294,CVRMLS,2403729,N,Y,37.4638865,-77.7053795
MLS Listing,,Single Family Residential,212 Eliza Ln,Aylett,VA,23009,387990,4,2.0,MCCAULEY PARK,1698,,2024,3,228,20,Active,,,https://www.redfin.com/VA/Aylett/212-Eliza-Ln-23009/home/189680015,REINMLS,10520457,N,Y,37.7531396,-77.1515823
MLS Listing,,Single Family Residential,114 Leonard Way,Aylett,VA,23009,484990,4,2.5,MCCAULEY PARK,3059,,2024,3,159,20,Active,,,https://www.redfin.com/VA/Aylett/114-Leonard-Ct-23009/home/189681930,REINMLS,10520463,N,Y,37.7519418,-77.1497734
MLS Listing,,Single Family Residential,209 Edwin Cir,Aylett,VA,23009,482990,4,2.5,MCCAULEY PARK,3059,,2024,3,158,20,Active,,,https://www.redfin.com/VA/Aylett/209-Edwin-Cir-23009/home/189680030,REINMLS,10520460,N,Y,37.7513729,-77.1524006
MLS Listing,,Single Family Residential,208 Edwin Cir,Aylett,VA,23009,389990,4,2.0,MCCAULEY PARK,1698,,2024,3,230,20,Active,,,https://www.redfin.com/VA/Aylett/208-Edwin-Cir-23009/home/189680071,REINMLS,10520459,N,Y,37.7519775,-77.1527314
MLS Listing,,Single Family Residential,102 Estelle Ct,Aylett,VA,23009,424990,4,2.5,MCCAULEY PARK,3059,,2024,3,139,20,Active,,,https://www.redfin.com/VA/Aylett/102-Estelle-Ct-23009/home/189680091,REINMLS,10520466,N,Y,37.7523802,-77.1534664
MLS Listing,,Single Family Residential,7112 Mount Hope Rd,Prince George,VA,23875,385000,4,2.5,,1949,238708,1975,3,198,,Active,,,https://www.redfin.com/VA/Prince-George/7112-Mount-Hope-Rd-23875/home/52441611,CVRMLS,2403824,N,Y,37.2147485,-77.2230464
MLS Listing,,Single Family Residential,116 Leonard Way,Aylett,VA,23009,474990,3,2.5,MCCAULEY PARK,2148,,2024,3,221,20,Active,,,https://www.redfin.com/VA/Unknown/116-Leonard-Way-23009/home/189681921,REINMLS,10520437,N,Y,37.75028991699219,-77.1502914428711
MLS Listing,,Single Family Residential,5512 Qualla Rd,Chesterfield,VA,23832,395000,3,2.0,,2388,45738,1978,3,165,,Active,,,https://www.redfin.com/VA/Chesterfield/5512-Qualla-Rd-23832/home/59524599,CVRMLS,2403867,N,Y,37.4189673,-77.5877989
MLS Listing,,Single Family Residential,115 Leonard Way,Aylett,VA,23009,432990,5,3.0,MCCAULEY PARK,2511,,2024,3,172,20,Active,,,https://www.redfin.com/VA/Unknown/115-Leonard-Way-23009/home/189680067,REINMLS,10520417,N,Y,37.75126647949219,-77.15340423583984
MLS Listing,,Single Family Residential,118 Leonard Way,Aylett,VA,23009,497990,5,3.0,MCCAULEY PARK,2511,,2024,3,198,20,Active,,,https://www.redfin.com/VA/Unknown/118-Leonard-Way-23009/home/189681919,REINMLS,10520414,N,Y,37.750301361083984,-77.15029907226562
MLS Listing,,Single Family Residential,105 Estelle Ct,Aylett,VA,23009,497990,5,3.0,MCCAULEY PARK,2511,,2024,3,198,20,Active,,,https://www.redfin.com/VA/Aylett/105-Estelle-Ct-23009/home/189680105,REINMLS,10520421,N,Y,37.7523286,-77.1536688
MLS Listing,,Single Family Residential,1408 N 26th St,Richmond,VA,23223,99000,3,1.0,,784,7501,1951,3,126,,Active,,,https://www.redfin.com/VA/Richmond/1408-N-26th-St-23223/home/55411018,CVRMLS,2403761,N,Y,37.5412263,-77.4084288
MLS Listing,,Single Family Residential,12913 Craftsbury Ct,Midlothian,VA,23112,479950,3,2.0,Collington East,130680,,2023,3,4,42,Active,,,https://www.redfin.com/VA/Midlothian/12913-Craftsbury-Ct-23112/home/179996542,CVRMLS,2403879,N,Y,37.3778147,-77.6468299
MLS Listing,,Single Family Residential,6312 Allerton St,North Chesterfield,VA,23234,365000,3,2.0,Falling Creek Hills,1286,14157,1961,3,284,,Active,,,https://www.redfin.com/VA/North-Chesterfield/6312-Allerton-St-23234/home/59567417,CVRMLS,2403876,N,Y,37.4384247,-77.4486166
MLS Listing,,Single Family Residential,221 Eliza Ln,Aylett,VA,23009,497990,5,3.0,MCCAULEY PARK,2511,,2024,3,198,20,Active,,,https://www.redfin.com/VA/Aylett/221-Eliza-Ln-23009/home/189681920,REINMLS,10520410,N,Y,37.7508275,-77.1505013
MLS Listing,,Single Family Residential,106 Leonard Ct,Aylett,VA,23009,496990,5,3.0,MCCAULEY PARK,2511,,2024,3,198,20,Active,,,https://www.redfin.com/VA/Aylett/106-Leonard-Ct-23009/home/189679991,REINMLS,10520403,N,Y,37.7525644,-77.1499354
MLS Listing,,Single Family Residential,4901 Lake Summer Loop,Moseley,VA,23120,885000,5,4.5,Summer Lake,3475,12980,2023,3,255,98,Active,,,https://www.redfin.com/VA/Moseley/4901-Lake-Summer-Loop-23120/home/188768697,CVRMLS,2403091,N,Y,37.4428453,-77.7305693
MLS Listing,,Single Family Residential,1408 Davis Ln,Hopewell,VA,23860,230000,3,1.5,,1569,17424,1960,3,147,,Active,,,https://www.redfin.com/VA/Hopewell/1408-Davis-Ln-23860/home/55460865,CVRMLS,2403787,N,Y,37.2724027,-77.306124
MLS Listing,,Single Family Residential,614 N 32nd St,Richmond,VA,23223,500000,5,2.5,,2432,2548,1925,3,206,,Active,,,https://www.redfin.com/VA/Richmond/614-N-32nd-St-23223/home/55411428,CVRMLS,2403528,N,Y,37.5310768,-77.4096316
MLS Listing,,Single Family Residential,712 Seneca Rd,Richmond,VA,23226,849000,3,2.5,Glen Burnie,2196,11865,1945,3,387,,Active,,,https://www.redfin.com/VA/Richmond/712-Seneca-Rd-23226/home/55449681,CVRMLS,2403141,N,Y,37.5764994,-77.5127413
MLS Listing,,Single Family Residential,2635 Drewrys Bluff Rd,Chesterfield,VA,23237,306250,3,2.0,,1416,21780,1925,4,216,,Active,,,https://www.redfin.com/VA/North-Chesterfield/2635-Drewrys-Bluff-Rd-23237/home/59570084,CVRMLS,2403857,N,Y,37.4264927,-77.4407274
MLS Listing,,Single Family Residential,12069 Almer Ln,Chester,VA,23836,575000,5,3.0,The Landings at Meadowville,3082,,2023,4,187,97,Active,,,https://www.redfin.com/VA/Chester/12069-Almer-Ln-23836/home/180065504,CVRMLS,2402068,N,Y,37.370222,-77.3152536
MLS Listing,,Single Family Residential,1211 N 20th St,Richmond,VA,23223,375000,3,3.0,Fairmount Park,1822,2552,1910,4,206,,Active,,,https://www.redfin.com/VA/Richmond/1211-N-20th-St-23223/home/55410152,CVRMLS,2402673,N,Y,37.542503,-77.4152376
MLS Listing,,Single Family Residential,5900 Waters Edge Rd,Midlothian,VA,23112,464500,4,2.5,Woodlake,2140,20516,1984,4,217,117,Active,,,https://www.redfin.com/VA/Midlothian/5900-Waters-Edge-Rd-23112/home/59496049,CVRMLS,2402517,N,Y,37.4174188,-77.6756461
MLS Listing,,Single Family Residential,8660 Forest Hill Ave,North Chesterfield,VA,23235,430000,3,2.0,Mohawk,1684,27355,1951,4,255,,Active,,,https://www.redfin.com/VA/North-Chesterfield/8660-Forest-Hill-Ave-23235/home/59534155,CVRMLS,2403311,N,Y,37.5340814,-77.5584715
MLS Listing,,Single Family Residential,9101 Barrows Hill Ter,Chesterfield,VA,23838,729000,5,3.0,Woodland Pond,3423,83548,2011,4,213,18,Active,,,https://www.redfin.com/VA/Chesterfield/9101-Barrows-Hill-Ter-23838/home/59486061,CVRMLS,2402708,N,Y,37.346469,-77.5535
MLS Listing,,Single Family Residential,520 Harding St,Petersburg,VA,23803,250000,3,2.0,,1440,11351,2024,4,174,,Active,,,https://www.redfin.com/VA/Petersburg/520-Harding-St-23803/home/101393537,CVRMLS,2403746,N,Y,37.219124,-77.406066
MLS Listing,,Single Family Residential,13607 Danwoods Rd,Midlothian,VA,23113,310000,3,2.5,Danhurst Woods,1334,7013,1990,4,232,,Active,,,https://www.redfin.com/VA/Midlothian/13607-Danwoods-Rd-23113/home/59504027,CVRMLS,2403345,N,Y,37.5112967,-77.650995
MLS Listing,,Single Family Residential,309 Brookedge Dr,Colonial Heights,VA,23834,275000,3,2.0,Laurel Hill,1802,10018,1974,4,153,,Active,,,https://www.redfin.com/VA/Colonial-Heights/309-Brookedge-Dr-23834/home/52865515,CVRMLS,2403042,N,Y,37.2631198,-77.408627
MLS Listing,,Single Family Residential,1814 Keswick Ave,Richmond,VA,23224,168000,2,1.0,,624,,1942,4,269,,Active,,,https://www.redfin.com/VA/Richmond/1814-Keswick-Ave-23224/home/55434382,CVRMLS,2403855,N,Y,37.5054943,-77.4388074
MLS Listing,,Single Family Residential,214 N James St,Ashland,VA,23005,250000,2,1.0,,1122,32670,1940,4,223,,Active,,,https://www.redfin.com/VA/Ashland/214-N-James-St-23005/home/56189982,CVRMLS,2403837,N,Y,37.7629874,-77.4842907
